Date,Level
5/6/15,86.87569573
5/7/15,86.85014814
5/8/15,86.71509257
5/9/15,86.71509257
5/10/15,86.71509257
5/11/15,86.71509257
5/12/15,86.71509257
5/13/15,86.71509257
5/14/15,86.71509257
5/15/15,86.71509257
5/16/15,86.71509257
5/17/15,86.71509257
5/18/15,86.71509257
5/19/15,86.71509257
5/20/15,86.71509257
5/21/15,86.76348472
5/22/15,85.66601825
5/23/15,85.66601825
5/24/15,85.66601825
5/25/15,85.66601825
5/26/15,85.66601825
5/27/15,85.66601825
5/28/15,85.82407391
5/29/15,85.82407391
5/30/15,85.82407391
5/31/15,85.82407391
6/1/15,85.82407391
6/2/15,85.82407391
6/3/15,85.82407391
6/4/15,85.82407391
6/5/15,85.82032525
6/6/15,85.82032525
6/7/15,85.82032525
6/8/15,85.82032525
6/9/15,85.78501454
6/10/15,85.78501454
6/11/15,85.78501454
6/12/15,85.78501454
6/13/15,85.78501454
6/14/15,85.78501454
6/15/15,85.78501454
6/16/15,85.78501454
6/17/15,85.78501454
6/18/15,85.78501454
6/19/15,85.78501454
6/20/15,85.78501454
6/21/15,85.78501454
6/22/15,85.78501454
6/23/15,85.78501454
6/24/15,85.88692494
6/25/15,84.34891193
6/26/15,84.34891193
6/27/15,84.34891193
6/28/15,84.34891193
6/29/15,84.34891193
6/30/15,84.34891193
7/1/15,84.34891193
7/2/15,84.34891193
7/3/15,84.34891193
7/4/15,84.34891193
7/5/15,84.34891193
7/6/15,84.34891193
7/7/15,84.34891193
7/8/15,84.34891193
7/9/15,84.34891193
7/10/15,84.34891193
7/11/15,84.34891193
7/12/15,84.34891193
7/13/15,84.34891193
7/14/15,84.34891193
7/15/15,84.34891193
7/16/15,84.34891193
7/17/15,84.34891193
7/18/15,84.34891193
7/19/15,84.34891193
7/20/15,84.34891193
7/21/15,84.34891193
7/22/15,84.35599101
7/23/15,84.35599101
7/24/15,84.35599101
7/25/15,84.35599101
7/26/15,84.35599101
7/27/15,84.41630318
7/28/15,83.35551451
7/29/15,83.34255924
7/30/15,83.30243696
7/31/15,69.72041559
8/1/15,69.72041559
8/2/15,69.72041559
8/3/15,69.72041559
8/4/15,69.72510098
8/5/15,69.69970202
8/6/15,69.80643608
8/7/15,69.93770151
8/8/15,69.93770151
8/9/15,69.93770151
8/10/15,69.88305295
8/11/15,70.06798008
8/12/15,69.86231346
8/13/15,69.86231346
8/14/15,69.86231346
8/15/15,69.86231346
8/16/15,69.86231346
8/17/15,69.86231346
8/18/15,69.86231346
8/19/15,69.86231346
8/20/15,69.86231346
8/21/15,69.86231346
8/22/15,69.86231346
8/23/15,69.86231346
8/24/15,69.86231346
8/25/15,69.96641879
8/26/15,69.96641879
8/27/15,69.96641879
8/28/15,69.96641879
8/29/15,69.96641879
8/30/15,69.96641879
8/31/15,69.50531077
9/1/15,69.57962728
9/2/15,69.57962728
9/3/15,69.57962728
9/4/15,69.57927125
9/5/15,69.57927125
9/6/15,69.57927125
9/7/15,69.57927125
9/8/15,69.57927125
9/9/15,69.58876475
9/10/15,69.58876475
9/11/15,69.60261701
9/12/15,69.60261701
9/13/15,69.60261701
9/14/15,69.60261701
9/15/15,69.60261701
9/16/15,69.60261701
9/17/15,69.57857129
9/18/15,68.82330816
9/19/15,68.82330816
9/20/15,68.82330816
9/21/15,68.82330816
9/22/15,68.82330816
9/23/15,69.04760403
9/24/15,69.04760403
9/25/15,69.04760403
9/26/15,69.04760403
9/27/15,69.04760403
9/28/15,69.04760403
9/29/15,69.04760403
9/30/15,69.04760403
10/1/15,69.04760403
10/2/15,69.04760403
10/3/15,69.04760403
10/4/15,69.04760403
10/5/15,69.04760403
10/6/15,69.04760403
10/7/15,69.04760403
10/8/15,69.04760403
10/9/15,69.04760403
10/10/15,69.04760403
10/11/15,69.04760403
10/12/15,69.04760403
10/13/15,69.04760403
10/14/15,69.04760403
10/15/15,69.04760403
10/16/15,69.04760403
10/17/15,69.04760403
10/18/15,69.04760403
10/19/15,69.04760403
10/20/15,69.04760403
10/21/15,69.05303432
10/22/15,69.19129759
10/23/15,69.19129759
10/24/15,69.19129759
10/25/15,69.19129759
10/26/15,69.19129759
10/27/15,74.38980313
10/28/15,74.34946481
10/29/15,74.31780425
10/30/15,74.3397259
10/31/15,74.3397259
11/1/15,74.3397259
11/2/15,74.3397259
11/3/15,74.34820662
11/4/15,74.39433989
11/5/15,74.43487522
11/6/15,74.71724685
11/7/15,74.71724685
11/8/15,74.71724685
11/9/15,74.59397823
11/10/15,74.34683263
11/11/15,74.34683263
11/12/15,74.34683263
11/13/15,74.34683263
11/14/15,74.34683263
11/15/15,74.34683263
11/16/15,74.34683263
11/17/15,74.34683263
11/18/15,74.34683263
11/19/15,74.34683263
11/20/15,74.46222543
11/21/15,74.46222543
11/22/15,74.46222543
11/23/15,74.46222543
11/24/15,74.44736213
11/25/15,74.44736213
11/26/15,74.44736213
11/27/15,74.44736213
11/28/15,74.44736213
11/29/15,74.44736213
11/30/15,74.44736213
12/1/15,74.44736213
12/2/15,74.44736213
12/3/15,74.44736213
12/4/15,74.41642745
12/5/15,74.41642745
12/6/15,74.41642745
12/7/15,74.41642745
12/8/15,74.41642745
12/9/15,74.26502916
12/10/15,74.22281911
12/11/15,74.22281911
12/12/15,74.22281911
12/13/15,74.22281911
12/14/15,74.22281911
12/15/15,74.22281911
12/16/15,74.22281911
12/17/15,74.22281911
12/18/15,73.69914696
12/19/15,73.69914696
12/20/15,73.69914696
12/21/15,73.69914696
12/22/15,73.69914696
12/23/15,73.69914696
12/24/15,73.69914696
12/25/15,73.69914696
12/26/15,73.69914696
12/27/15,73.69914696
12/28/15,73.69914696
12/29/15,73.69914696
12/30/15,73.69914696
12/31/15,73.69914696
1/1/16,73.69914696
1/2/16,73.69914696
1/3/16,73.69914696
1/4/16,73.69914696
1/5/16,73.69914696
1/6/16,73.69914696
1/7/16,73.69914696
1/8/16,73.69914696
1/9/16,73.69914696
1/10/16,73.69914696
1/11/16,73.69914696
1/12/16,73.69914696
1/13/16,73.69914696
1/14/16,73.69914696
1/15/16,73.69914696
1/16/16,73.69914696
1/17/16,73.69914696
1/18/16,73.69914696
1/19/16,73.93172134
1/20/16,73.93172134
1/21/16,73.93172134
1/22/16,73.93172134
1/23/16,73.93172134
1/24/16,73.93172134
1/25/16,73.93172134
1/26/16,73.93172134
1/27/16,73.93172134
1/28/16,72.43674969
1/29/16,72.43674969
1/30/16,72.43674969
1/31/16,72.43674969
2/1/16,72.43674969
2/2/16,72.43674969
2/3/16,72.43674969
2/4/16,72.21396262
2/5/16,72.22341119
2/6/16,72.22341119
2/7/16,72.22341119
2/8/16,71.90022079
2/9/16,71.92311719
2/10/16,71.92311719
2/11/16,71.92311719
2/12/16,71.92311719
2/13/16,71.92311719
2/14/16,71.92311719
2/15/16,71.92311719
2/16/16,71.92311719
2/17/16,71.9546343
2/18/16,72.04345117
2/19/16,72.04345117
2/20/16,72.04345117
2/21/16,72.04345117
2/22/16,72.04345117
2/23/16,70.27713784
2/24/16,70.29388153
2/25/16,70.4592323
2/26/16,70.33176566
2/27/16,70.33176566
2/28/16,70.33176566
2/29/16,69.94029221
3/1/16,69.94029221
3/2/16,69.94029221
3/3/16,69.94029221
3/4/16,69.94029221
3/5/16,69.94029221
3/6/16,69.94029221
3/7/16,70.00986629
3/8/16,70.00986629
3/9/16,70.00986629
3/10/16,70.00986629
3/11/16,70.00986629
3/12/16,70.00986629
3/13/16,70.00986629
3/14/16,70.00986629
3/15/16,70.00986629
3/16/16,70.00986629
3/17/16,70.00986629
3/18/16,69.39805131
3/19/16,69.39805131
3/20/16,69.39805131
3/21/16,69.39805131
3/22/16,69.36061307
3/23/16,69.2764453
3/24/16,69.2764453
3/25/16,69.2764453
3/26/16,69.2764453
3/27/16,69.2764453
3/28/16,69.2764453
3/29/16,69.2764453
3/30/16,69.53071838
3/31/16,69.53071838
4/1/16,69.53071838
4/2/16,69.53071838
4/3/16,69.53071838
4/4/16,69.53071838
4/5/16,69.53071838
4/6/16,69.53071838
4/7/16,69.53071838
4/8/16,69.53071838
4/9/16,69.53071838
4/10/16,69.53071838
4/11/16,69.53071838
4/12/16,69.53071838
4/13/16,69.53071838
4/14/16,69.53071838
4/15/16,69.53071838
4/16/16,69.53071838
4/17/16,69.53071838
4/18/16,69.53071838
4/19/16,69.53071838
4/20/16,69.53071838
4/21/16,67.92859269
4/22/16,67.92859269
4/23/16,67.92859269
4/24/16,67.92859269
